Unnamed: 0,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/17445647.2021.2009925,Bivariate choropleth map documenting land cover intensity and population growth in Poland 2006–2018,Calka B.,2021,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/85121581175,2
1,10.1080/17445647.2014.977973,"Ring maps applied to hydrogeological and environmental studies in alluvial aquifers, central Italy",Palmucci W.,1 January 2016,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/84948583563,8
2,10.4113/jom.2011.1182,Ring maps for spatial visualization of multivariate epidemiological data,Battersby S.E.,2011,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/84893335388,12
3,10.4113/jom.2010.1090,Rectangular hierarchical cartograms for socio-economic data,Slingsby A.,2010,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/80051946450,22
0,10.1080/17445647.2022.2098839,"Multivariate analysis of socioeconomic profiles in the Ruhr area, Germany",Lengyel J.,2022,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/85135769556,5
1,10.1080/17445647.2022.2035263,Visualising residents’ fear of crime with recorded crime data from four Czech cities,Linhartová P.,2022,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/85125111514,1
3,10.1080/17445647.2018.1473815,"Visualizing water infrastructure with sankey maps: A case study of mapping the los angeles aqueduct, California",Lehrman B.,1 January 2018,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/85054686889,8
5,10.1080/17445647.2012.744365,"Health, poverty, and place in Accra, Ghana: Mapping neighborhoods",Verutes G.,2012,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/84876957928,11
1,10.1080/17445647.2015.1014939,"Sinkhole susceptibility, Lazio Region, central Italy",Ciotoli G.,14 March 2016,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/84953368193,20
5,10.4113/jom.2010.1071,Treemap cartography for showing spatial and temporal traffic patterns,Slingsby A.,2010,Journal of Maps,https://api.elsevier.com/content/abstract/scopus_id/79955680787,29
