,doi,title,authors,year,publicationName,url,citedby-count
0,10.3390/ijgi12070291,"Spatiotemporal Predictive Geo-Visualization of Criminal Activity for Application to Real-Time Systems for Crime Deterrence, Prevention and Control",Salcedo-Gonzalez M.,July 2023,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85166360927,0
1,10.3390/ijgi11120630,The Effects of Colour Content and Cumulative Area of Outdoor Advertisement Billboards on the Visual Quality of Urban Streets,Adam M.,December 2022,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85144853275,0
2,10.3390/ijgi11110574,Field Cognitive Styles on Visual Cognition in the Event Structure Design of Bivariate Interactive Dorling Cartogram—The Similarities and Differences of Field-Independent and Field-Dependent Users,Zhu Y.,November 2022,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85149497154,0
3,10.3390/ijgi11030194,SmartEle: Smart Electricity Dashboard for Detecting Consumption Patterns: A Case Study at a University Campus,Jing C.,March 2022,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85126960174,2
4,10.3390/ijgi10040213,On the use of ‘glyphmaps’ for analysing the scale and temporal spread of COVID-19 reported cases,Beecham R.,April 2021,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85106465822,2
5,10.3390/ijgi8120559,Visualization of pedestrian density dynamics using data extracted from public webcams,Petrasova A.,5 December 2019,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85077195455,8
6,10.3390/ijgi8020062,Correction: Geospatial assessment of the post-earthquake hazard of the 2017 Pohang earthquake considering seismic site effects(ISPRS International Journal of Geo-Information (2018) 7 (375) DOI: 10.3390/ijgi7090375),Kim H.,29 January 2019,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85061435062,0
7,10.3390/ijgi7120475,A framework for visual analytics of spatio-temporal sensor observations from data streams,Sibolla B.H.,11 December 2018,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85061401436,10
8,10.3390/ijgi7070266,Association rules-based multivariate analysis and visualization of spatiotemporal climate data,Wang F.,July 2018,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/85061658546,8
9,10.3390/ijgi4042159,Visual soccer analytics: Understanding the characteristics of collective team movement based on feature-driven analysis and abstraction,Stein M.,December 2015,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/84952838265,29
10,10.3390/ijgi4041965,Communicating thematic data quality with web map services,Blower J.D.,December 2015,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/84952838237,4
11,10.3390/ijgi3041180,Uncertainty in geographic data on bivariate maps: An examination of visualization preference and decision making,Scholz R.,December 2014,ISPRS International Journal of Geo-Information,https://api.elsevier.com/content/abstract/scopus_id/84948957608,10
